question,answer
Is Tamil Nadu an agrarian state?,no
What is the official language of Meghalaya?,English
Is Russian the second most spoken Slavic language?,No
What star	 after having been a stable 2.3 magnitude star	 has become a variable star fluctuating between 2.0 and 1.6?,Sco
What motivated the domestic trade and transporting troops?,The Grand Canal
When did Islam emerge as the major power in southern Punjab after the Umayyad caliphate conquered the region?,711 AD
Which family does French belong to?,Indo-European
Why were official overseers needed for Bronze working?,Because the production of bronze required a large labor force and transportation
What did a salesman attempt to sell to Team Rocket?,a Magikarp
Who made Mewtwo in Pokemon: The First Movie?,Team Rocket.
Is Scorpius one of the 48 constellations identified by the Greek astronomer Ptolemy?,Yes
Where was Phrixus taken by the golden ram after being rescued?,To the land of Colchis.
In what culture's historical texts was the Crab Nebula (M1) mentioned?,Chinese
In which year was the Chen dynasty established?,557
Did the Sui dynasty last more than 40 years?,No
Did the Tang dynasty flourish and grow in the later half of the 9th century?,no
When was the Spanish colonization of the Philippines?,1565–1898
Is Piscis Austrinus also known as the North Fish?,No
What do some scientist theorize about the existence of the Xia?,"the Zhou rulers invented the Xia as a pretext, to justify their conquest of the Shang"
Which pronoun denotes intimacy?,Vos
Was progress on the Great Wall of Chine made during the Sui dynasty?,Yes
Which part of the Indian Constitution deals with the official language of the Indian Commonwealth?,XVII
"How many constellation crossed by all three of the galactic equator, celestial equator, and ecliptic?",One
What are speakers of English called?,Anglophones.
What was the first technology park in India?,Technopark
Are there more native Urdu speakers in India than Pakistan?,Yes
Which Indian state hosts the largest hockey tournament in the world?,Karnataka
Who conquered Northern Madhya Pradesh in the 13th century?,Turkic Delhi Sultanate
From which pokemon does Jigglypuff evolve when it reaches a certain point of happiness?,Igglybuff
Where are the tombs of members of the ruling Xiao family?,near Nanjing
Where are India's major financial institutions located?,Mumbai
What is the pose of the twins in the alternative visualization?,Holding hands.
What is the official spoken language of the PRC and ROC?,The Standard Mandarin
What animals is Mewtwo similar to?,"Cat, squirrel, and kangaroo"
Was Emperor Wen called the 'cultured emperor'?,Yes
Which United States navy ship was named Libra?,Libra (AKA-12)
How many consonants can a syllable start with?,up to three
Is the economy of Madhya Pradesh the largest in India?,No
Who is the final boss in Pokémon HeartGold and SoulSilver?,Red
Is Spanish used in administration in the state of New Mexico?,Yes
What is the primary source of state income in Meghalaya?,Tolls
Can Mega Charizard Y fly at 15000 meters of altitude,No
What is the Portuguese language known as in Latin?,lusitana or (latina) lusitanica
What happened because of the Yellow River changing course?,massive floods
Which general led Liu Song's army to recover Luoyang and Hulao during Emperor Wen?,Dao Yanzhi
Who was the first to voice the original Mewto character in Japanese?,Masachika Ichimura
When the Tang Dynasty rule ,From 618 to 907 AD
Is the original Pikachu balloon still flying at the Macy's parade?,no
Can Bulbasaur survive for days solely on sunlight?,Yes
How many national parks and wildlife santuaries are there in Rajasthan?,four
NGC 6302 is a bipolar planetary nebula that is also called?,Bug Nebula
Is Indonesian the first language of most Indonesians?,No
What percent of Indonesia spoke Sundanese in 1945?,15
How did the British Empire spread English?,through its colonies and geopolitical dominance
Dao Yanzhi was a general under whose reign?,Emperor Wen of Liu Song
Did Emperor Wen recoverd the cities because of his martial abilities?,No
Did Li Jing become a a Chancellor of the Tang dynasty during the Taizong era?,Yes
Was only one religion practiced by those living under the Tang dynasty?,No
How many major units was the early Western Zhou army split into? ,Two 
Was modern literature of Bengali developed during the 19th and early 20th centuries?,Yes
Is Scorpio an ancient constellation that pre-dates the Greeks?,Yes
"In the hierarchical social order, is the emperor at the apex of Han society and government?",Yes
Where is Libra located?,Southern celestial hemisphere
What are the five geographic regions of  Maharashtra?,"Konkan, Khandesh, Desh, Marathwada, and Vidarbha"
Who are the parents of Persephone?,Zeus and Demeter
What annual meteor shower is associated with the Marsden group of comets that has a maximum zenith hourly rate of 54 meteors?,Daytime Arietid
Is the state of Andhra Pradesh the second largest producer of eggs?,No
How many local lanuages are in Indonesian islands? ,more than 250
How were varieties of Prakrit referred to?,eastern Magadhi Prakrit
In which year did Charizard have lots of usage after and before being outclassed by Primal Groudon?,2018
What languages did Vinayak Damodar Savarkar write in?,English and Marathi
How many Urdu speakers are there in Saudi Arabia,Several hundred thousand
What did the States Reorganization Act add to the Bombay Presidency State?,Marathwada and Vidarbha
Where in Virgo does the celestial equator cross the ecliptic?,The First Point of Libra
Did the Emperor Taiwu destroyed the Northern Yan in 432?,No
What was the cause of Sima Dewen's death?,Asphyxiation with a blanket
Is Telugu the mother tone of nearly 90% of indian population?,No
Gujarat is derived from which dynasty?,the Gurjara-Pratihara dynasty
How many choices do players have for their starter Pokémon in Pokémon Yellow?,1
"French, Romansch, German, and Italian are official languages of what country?",Switzerland
Was Jolteon designed by Atsuko Nishida?,No
What religion was practiced before Buddhism and Jainism in the Punjabi region?,Hinduism
What does syllable0-timed languages mean?,each syllable has approximately the same duration regardless of stress 
Under whose reign did the Liu Song experience a golden age?,Emperor Wen
What is the probability that radiocarbon dating is incorrect about oracle bone ages?,Ten to twenty percent
Does Eevee has access to Extreme Evoboost In Pokémon Yellow?,No
Who founded the Sui dynasty?,Emperor Wen
"When a crown prince of Northern Wei is named, who must his mother kill?",Herself
Does Mega Evolution allow Venusaur to transform into Gigantmax form?,No
Does Magikarp have yellow fins?,Yes
Spanish is the primary language in how many countries?,20
Is Portuguese commonly taught in the United States?,No
What witnessed competing and conflicting interests in the Punjab?,The struggle for Indian independence
How many inhabitants does Andhra have? ,"49,386,799"
Which star is located about 1.8 degrees west of Epsilon Tauri?,T Tauri
Who said that they liked Psyduck when it was just charmingly dopey?,Liz Finnegan
Was Kashmir paying tribute to the Tang dynasty?,Yes
Is Gujarat bounded by the Arabian Sea to the northwest?,no
Who killed Emperor Yuan?,Western Wei
What belief is a source of friction and contentious debate in India?,Hindi is the national language of India
"In the German lore of Antenteh, why did the  fish become angry?",the wife asked to become a goddess
Who was conquered by Emperor Wu of Liu Song in  410,Southern Yan
Are Jigglypuff's eyes pink in color?,No
Can Jigglypuff become Wigglytuff?,Yes
Who did Princess Nanyang marry?,Xiao Baoyin
What were many Afghans exposed to that caused them to become fluent in Hindi-Urdu?,The Indian media.
How do you know Charizard is angry?,the flame at the tip of Charizard's tail will flare up in a whitish-blue color
Is Maharashtra the the second-largest state by area in India?,No
Who ordered his edicts engraved in the rock at Girinagar?,Ashoka
Since what year did Brexit rekindle discussion on whether or not French should again hold greater role within the institutions of the European Union?,2016
Was Surat a thriving and luxurious place for some in the 1500s?,Yes
When was the Bombay state created?,1956
Do grains and staples production cover about 70% of the land area dedicated to crops?,No
Which country is Madhya Pradesh a state in?,India
What was the largest city in the world in the 8th century?,Chang'an
Are the Meghalayan forests a rich botanical habitat of Asia?,Yes
What is the area of the M35 cluster?,0.2 square degrees
Is French the most common language in Canada?,No
Are the civil unrest and the shift towards religious homogeneity two major consequence of partition?,Yes
What are the names for three evolution versions of Charmander?,"Charmander, Charmeleon, Charizard"
